Customer ID	Customer Name	Addressline1	Addressline2	City	State	ZipCode	Phonenumber
C001001	Mark	28, Tracy Pl		Hackensack	NJ	07601	2122124413
C001002	Anderson	12 Passic st		Union	NJ	07212-0000	1213412134
C001003	Ron	11	ABC St	NewYork	NY	013363	1111111111
C001004	cust1	12	BCD St	Passic	NJ	12313	8888888
C001005	cust2	13	CDE St	Wilmigton	DE	3532122	1234789
C001006	cust3	14	ABC St	Hackensack	NJ	12345	123456789
C001007	cust4	15	BCD St	Union	NJ	07212-0001	123456789
C001008	cust5	16	CDE St	NewYork	NY	01363	123456789
C001009	cust6	17	ABC St	Passic	NJ	12313	123456789
C001010	cust7	18	BCD St	Wilmigton	DE	32122	123456789
C001011	cust8	19	CDE St	Hackensack	NJ	07603	123456789
C001012	cust9	20	ABC St	Union	NJ	07212-0002	123456789
C001013	cust10	21	BCD St	NewYork	NY	03363	123456789
C001014	cust11	22	CDE St	Passic	NJ	12313	123456789
C001015	cust12	23	ABC St	Wilmigton	DE	12122	123456789
C001016	cust13	24	BCD St	Hackensack	NJ	07604	123456789
C001017	cust14	25	CDE St	Union	NJ	07212-0003	123456789
C001018	cust15	26	ABC St	NewYork	NY	013363	23232323
C001019	cust16	27	BCD St	Passic	NJ	12313	12345890042
C001020	cust17	28	CDE St	Wilmigton	DE	35122	123456789
C001021	cust18	29	ABC St	Hackensack	NJ	07605	123456789
C001022	cust19	30	BCD St	Union	NJ	07212-0004	123456789
C001023	cust20	31	CDE St	NewYork	NY	12313	123456789
C001024	cust21	32	ABC St	Passic	NJ	35122	123456789
C001025	cust22	33	BCD St	Wilmigton	DE	07605	123456789
C001026	cust23	34	CDE St	Hackensack	NJ	07606	123456789
C001027	cust24	35	ABC St	Union	NJ	07212-0005	123456789
C001028	cust25	36	BCD St	NewYork	NY	12313	23232323
C001029	cust26	37	CDE St	Passic	NJ	35122	12345890042
C001030	cust27	38	ABC St	Wilmigton	DE	07605	123456789
C001031	cust28	39	BCD St	Hackensack	NJ	07607	123456789
C001032	cust29	40	CDE St	Union	NJ	07212-0006	123456789
C001033	cust30	41	ABC St	NewYork	NY	12313	123456789
C001034	cust31	42	BCD St	Passic	NJ	35122	123456789
C001035	cust32	43	CDE St	Wilmigton	DE	07605	123456789
C001036	cust33	44	ABC St	Hackensack	NJ	07608	123456789
C001037	cust34	45	BCD St	Union	NJ	07212-0007	123456789
C001038	cust35	46	CDE St	NewYork	NY	12313	23232323
C001039	cust36	47	ABC St	Passic	NJ	35122	12345890042
C001040	cust37	48	BCD St	Wilmigton	DE	07605	123456789
C001041	cust38	49	CDE St	Hackensack	NJ	07609	123456789
C001042	cust39	50	ABC St	Union	NJ	07212-0008	123456789
C001043	cust40	51	BCD St	NewYork	NY	12313	123456789
C001044	cust41	52	CDE St	Passic	NJ	35122	123456789
C001045	cust42	53	ABC St	Wilmigton	DE	07605	123456789
C001046	cust43	54	BCD St	Hackensack	NJ	07610	123456789
C001047	cust44	55	CDE St	Union	NJ	07212-0009	123456789
C001048	cust45	56	ABC St	NewYork	NY	12313	23232323
C001049	cust46	57	BCD St	Passic	NJ	35122	12345890042
C001050	cust47	58	CDE St	Wilmigton	DE	07605	123456789
C001051	cust48	59	ABC St	Hackensack	NJ	07611	123456789
C001052	cust49	60	BCD St	Union	NJ	07212-0010	123456789
C001053	cust50	61	CDE St	NewYork	NY	12313	123456789
C001054	cust51	62	ABC St	Passic	NJ	35122	123456789
C001055	cust52	63	BCD St	Wilmigton	DE	07605	123456789
C001056	cust53	64	CDE St	Hackensack	NJ	07612	123456789
C001057	cust54	65	ABC St	Union	NJ	07212-0011	123456789
C001058	cust55	66	BCD St	NewYork	NY	12313	23232323
C001059	cust56	67	CDE St	Passic	NJ	35122	12345890042
C001060	cust57	68	ABC St	Wilmigton	DE	07605	123456789
C001061	cust58	69	BCD St	Hackensack	NJ	07613	123456789
C001062	cust59	70	CDE St	Union	NJ	07212-0012	123456789
C001063	cust60	71	ABC St	NewYork	NY	12313	123456789
C001064	cust61	72	BCD St	Passic	NJ	35122	123456789
C001065	cust62	73	CDE St	Wilmigton	DE	07605	123456789
C001066	cust63	74	ABC St	Hackensack	NJ	07614	123456789
C001067	cust64	75	BCD St	Union	NJ	07212-0013	123456789
C001068	cust65	76	CDE St	NewYork	NY	12313	23232323
C001069	cust66	77	ABC St	Passic	NJ	35122	12345890042
C001070	cust67	78	BCD St	Wilmigton	DE	07605	123456789
C001071	cust68	79	CDE St	Hackensack	NJ	07615	123456789
C001072	cust69	80	ABC St	Union	NJ	07212-0014	123456789
C001073	cust70	81	BCD St	NewYork	NY	12313	123456789
C001074	cust71	82	CDE St	Passic	NJ	35122	123456789
C001075	cust72	83	ABC St	Wilmigton	DE	07605	123456789
C001076	cust73	84	BCD St	Hackensack	NJ	07616	123456789
C001077	cust74	85	CDE St	Union	NJ	07212-0015	123456789
C001078	cust75	86	ABC St	NewYork	NY	12313	23232323
C001079	cust76	87	BCD St	Passic	NJ	35122	12345890042
C001080	cust77	88	CDE St	Wilmigton	DE	07605	817381331
C001081	cust78	89	ABC St	Hackensack	NJ	07617	315316839
C001082	cust79	90	BCD St	Union	NJ	07212-0016	242424242
C001083	cust80	91	CDE St	NewYork	NY	12313	123233
